ADN	ad
chaperonner	ʃa.pə.ʁɔ.ˈne
chapitre	ʃa.ˈpitʁ
chaque	ʃak
chaque jour	ʃak.ˈʒuʁ
chaque semaine	ʃak.sə.ˈmɛn
char	ʃaʁ
charbon	ʃaʁ.ˈbõ
chardon	ʃaʁ.ˈdõ
chardonneret	ʃaʁ.dɔ.nə.ˈʁɛ
charger	ʃaʁ.ˈʒe
chariot	ʃa.ˈʁjo
charitable	ʃa.ʁi.ˈtabl
charlatan	ʃaʁ.la.ˈtã
charmant	ʃaʁ.ˈmã
charme	ʃaʁm
charnière	ʃaʁ.ˈnjɛʁ
charpenter	ʃaʁ.pã.ˈte
charrette	ʃa.ˈʁɛt
charrue	ʃa.ˈʁy
chasser	ʃa.ˈse
chasseur	ʃa.ˈsœʁ
chaste	ʃast
chat	ʃa
chatouiller	ʃa.tu.ˈje
chatte	ʃat
chaud	ʃo
chaudement	ʃo.ˈdəm
chaudron	ʃo.ˈdʁõ
chauffage	ʃo.ˈfaʒ
chauffer	ʃo.ˈfe
chauffeur	ʃo.ˈfœʁ
chaume	ʃom
chaumière	ʃo.ˈmjɛʁ
chaussette	ʃo.ˈsɛt
chaussure	ʃo.ˈsyʁ
chaussée	ʃo.ˈse
chauve	ʃov
chaux	ʃo
chaîne	ʃɛn
chaîne Côtière	ʃɛn.ko.ˈtjɛʁ
chef	ʃɛf
chemin	ʃə.ˈmɛ̃
cheminée	ʃə.mi.ˈne
chemin de fer	ʃə.mɛ̃.də.ˈfe
chemise	ʃə.ˈmiz
chenal Opimica	ʃə.na.lo.pi.mi.ˈka
chenal Raft	ʃə.nal.ˈʁaf
chenal de la Culbute	ʃə.nal.də.la.kyl.ˈbyt
chenille	ʃə.ˈnij
cher	ʃe
chercher	ʃɛʁ.ˈʃe
cheval	ʃə.ˈval
cheval entier	ʃə.va.lã.ˈtje
cheval hongre	ʃə.va.ˈlõgʁ
chevaucher	ʃə.vo.ˈʃe
cheveu	ʃə.ˈvø
cheveux	ʃə.ˈvø
cheville	ʃə.ˈvij
chevreuil	ʃə.ˈvʁœj
chez	ʃe
chicaner	ʃi.ka.ˈne
chien	ʃi
chiendent	ʃjɛ̃d
chiffon	ʃi.ˈfõ
chiffre	ʃifʁ
chilien	ʃi.ˈli
chimie	ʃi.ˈmi
chimiste	ʃi.ˈmist
chimère	ʃi.ˈmɛʁ
chirurgie	ʃi.ʁyʁ.ˈʒi
chirurgien	ʃi.ʁyʁ.ˈʒi
chlore	klɔʁ
chlorure de polyvinyle	klɔ.ʁyʁ.də.pɔ.li.vi.ˈnil
choc	ʃɔk
chocolat	ʃɔ.kɔ.ˈla
choisir	ʃwa.ˈziʁ
choix	ʃwa
choléra	ʃɔ.le.ˈʁa
choquer	ʃɔ.ˈke
chose	ʃoz
choses	ʃoz
chou	ʃu
chouette	ʃuɛt
choyer	ʃwa.ˈje
chrome	kʁom
chrétien	kʁe.ˈsi
chuchoter	ʃy.ʃɔ.ˈte
chute	ʃyt
chypriote	ʃi.ˈpʁjɔt
chèque	ʃɛk
chèvre	ʃɛvʁ
chèvrefeuille	ʃɛ.vʁə.ˈfœj
châle	ʃal
châtaigne	ʃa.ˈtɛnj
châtaignier	ʃa.tɛnj.ˈje
château	ʃa.ˈto
chêne	ʃɛn
ciboulette	si.bu.ˈlɛt
cicatrice	si.ka.ˈtʁis
cidre	sidʁ
ciel	sjɛl
cigare	si.ˈgaʁ
cigarette	si.ga.ˈʁɛt
cigogne	si.ˈgɔnj
cime	sim
ciment	sim
cimetière	si.mə.ˈtjɛʁ
cinq	sɛ̃k
cinquante	sɛ̃.ˈkãt
cinéma	si.ne.ˈma
circonstance	siʁ.kõ.ˈstãs
circulaire	siʁ.ky.ˈlɛʁ
circulation	siʁ.ky.la.ˈsjõ
circuler	siʁ.ky.ˈle
cire	siʁ
cire d'abeilles	siʁ.da.ˈbɛj
cirque	siʁk
ciseau	si.ˈzo
ciseaux	si.ˈzo
ciseler	si.zə.ˈle
citation	si.ta.ˈsjõ
citer	si.ˈte
citerne	si.ˈtɛʁn
citoyen	si.ˈtwaj
citron	si.ˈtʁõ
cité	si.ˈte
civil	si.ˈvil
clair	klɛʁ
clairon	klɛ.ˈʁõ
clamer	kla.ˈme
clameur	kla.ˈmœʁ
clapoter	kla.pɔ.ˈte
claquer	kla.ˈke
classe	klas
classique	kla.ˈsik
clavier	kla.ˈvje
clef	kle
client	kli
climat	kli.ˈma
climatisé	kli.ma.ti.ˈze
clique	klik
cloaque	kloak
cloche	klɔʃ
clochette	klo.ˈʃɛt
cloche de plongée	klɔʃ.də.plõ.ˈʒe
cloison	klwa.ˈzõ
clou	klu
clouer	klue
clown	klun
club	klœb
clébard	kle.ˈbaʁ
cobaye	kɔ.ˈbaj
cobra	kɔ.ˈbʁa
coccinelle	kok.si.ˈnɛl
coche	kɔʃ
cochon	ko.ˈʃõ
cochonnet	ko.ʃɔ.ˈnɛ
cochon d'Inde	ko.ʃõ.ˈdɛ̃d
coffre	kɔfʁ
coffret	kɔ.ˈfʁɛ
cognac	kɔ.ˈnjak
cohérent	koeʁ
coiffer	kwa.ˈfe
coiffeur	kwa.ˈfœʁ
coiffeuse	kwa.ˈføz
coin	kwɛ̃
coing	kwɛ̃
col	kɔl
colimaçon	kɔ.li.ma.ˈsõ
colis	kɔ.ˈli
colle	kɔl
collection	kɔ.lɛk.ˈsjõ
collectionner	kɔ.lɛk.sjɔ.ˈne
collection à consulter	kɔ.lɛk.sjõa.kõ.syl.ˈte
coller	kɔ.ˈle
colline	kɔ.ˈlin
colline Boundary	kɔ.lin.bu.da.ˈʁi
collision	kɔ.liz.ˈjõ
collège	kɔ.ˈlɛʒ
collègue	kɔ.ˈlɛg
colombe	kɔ.ˈlõb
colombien	kɔ.lõ.ˈbi
colonel	kɔ.lo.ˈnɛl
colonial	kɔ.lo.ˈnjal
colonie	kɔ.lo.ˈni
colonne	kɔ.ˈlɔn
colonne de journal	kɔ.lɔn.də.ʒuʁ.ˈnal
colonne vertébrale	kɔ.lɔn.vɛʁ.te.ˈbʁal
combat	kõ.ˈba
combattre	kõ.ˈbatʁ
combien	kõ.ˈbi
combien de	kõ.bi.ˈdə
comble	kõbl
combler	kõ.ˈble
comique	ko.ˈmik
comité	ko.mi.ˈte
commandant	kɔ.mã.ˈdã
commande	kɔ.ˈmãd
commandement	kɔ.mã.ˈdəm
commander	kɔ.mã.ˈde
commando	kɔ.mã.ˈdo
comme	kɔm
commencement	kɔ.mã.ˈsəm
commencer	kɔ.mã.ˈse
comment	kɔm
commerce	kɔ.ˈmɛʁs
commerçant	kɔ.mɛʁ.ˈsã
commetre yne faute	kɔ.mətʁjn.ˈfot
comme cela	kɔm.sə.ˈla
comme ci, comme ça	kɔm.si.kɔm.ˈsa
commissariat	kɔ.mi.sa.ˈʁja
commission	kɔ.mi.ˈsjõ
commode	kɔ.ˈmɔd
commun	kɔ.ˈmœ̃
commune	kɔ.ˈmyn
communication	kɔ.my.ni.ka.ˈsjõ
communion	kɔ.my.ˈnjõ
communiquer	kɔ.my.ni.ˈke
commuter	kɔ.my.ˈte
compagnie	kõ.pa.ˈnji
compagnon	kõ.pa.ˈnjõ
comparaison	kõ.pa.ʁɛ.ˈzõ
comparer	kõ.pa.ˈʁe
compartiment	kõ.paʁ.ˈtim
compassion	kõ.pa.ˈsjõ
compatir	kõ.pa.ˈtiʁ
compenser	kõ.pã.ˈse
complaisance	kõ.plɛ.ˈzãs
complaisant	kõ.plɛ.ˈzã
complet	kõ.ˈplɛ
compliment	kõ.ˈplim
compliquer	kõ.pli.ˈke
comploter	kõ.plɔ.ˈte
compléter	kõ.plɛ.ˈte
complètement	kõ.plɛ.ˈtəm
composer	kõ.po.ˈze
composition	kõ.po.zi.ˈsjõ
comprendre	kõ.ˈpʁãdʁ
compromis	kõ.pʁo.ˈmi
compte	kõt
compter	kõ.ˈte
compétent	kõ.ˈpɛt
comte	kõt
comète	ko.ˈmɛt
con	kõ
concernant	kõ.sɛʁ.ˈnã
concerner	kõ.sɛʁ.ˈne
concerné	kõ.sɛʁ.ˈne
concert	kõ.ˈsɛʁ
concevoir	kõ.sə.ˈvwaʁ
conciliant	kõ.si.ˈljã
concis	kõ.ˈsi
conclure	kõ.ˈklyʁ
concombre	kõ.ˈkõbʁ
concordance	kõ.kɔʁ.ˈdãs
concorder	kõ.kɔʁ.ˈde
concourir	kõ.ku.ˈʁiʁ
concours	kõ.ˈkuʁ
concret	kõ.ˈkʁɛ
condamner	kõ.da.ˈne
condition	kõ.di.ˈsjõ
condom	kõ.ˈdõm
conduire	kõ.ˈdɥiʁ
confectionner	kõ.fɛk.sjɔ.ˈne
confession	kõ.fɛ.ˈsjõ
confiance	kõ.ˈfjãs
confier	kõ.ˈfje
confier une tâche	kõ.fjeyn.ˈtaʃ
confire	kõ.ˈfiʁ
confirmer	kõ.fiʁ.ˈme
confisquer	kõ.fi.ˈske
confiture	kõ.fi.ˈtyʁ
conflit	kõ.ˈfli
confondre	kõ.ˈfõdʁ
conforme	kõ.ˈfɔʁm
conforme à	kõ.fɔʁ.ˈma
conformément	kõ.fɔʁ.ˈmem
confort	kõ.ˈfɔʁ
confortable	kõ.fɔʁ.ˈtabl
confu	kõ.ˈfy
confus	kõ.ˈfy
conférence	kõ.fe.ˈʁãs
congestion	kõ.ʒɛst.ˈjõ
congrès	kõ.ˈgʁɛ
congé	kõ.ˈʒe
conjecturer	kõ.ʒɛk.ty.ˈʁe
connaissance	ko.nɛ.ˈsãs
connaître	kɔ.ˈnɛtʁ
connecter	kɔ.nɛk.ˈte
connu	ko.ˈny
conque	kõk
conquérir	kõ.ke.ˈʁiʁ
consacrer	kõ.sa.ˈkʁe
conscience	kõ.ˈsjãs
conscient	kõ.ˈsi
conseil	kõ.ˈsɛj
conseiller	kõ.sɛ.ˈje
conseilleur	kõ.sɛ.ˈjœʁ
consentir	kõ.sã.ˈtiʁ
conserver	kõ.sɛʁ.ˈve
considérable	kõ.si.de.ˈʁabl
considérer	kõ.si.de.ˈʁe
consister	kõ.si.ˈste
consolation	kõ.sɔ.la.ˈsjõ
consoler	kõ.sɔ.ˈle
consommateur	kõ.so.ma.ˈtœʁ
consommation	kõ.sɔ.ma.ˈsjõ
consommer	kõ.sɔ.ˈme
constamment	kõ.ˈstam
constant	kõ.ˈstã
constater	kõ.sta.ˈte
consterner	kõ.stɛʁ.ˈne
construction	kõ.stʁyk.ˈsjõ
construire	kõstʁ.ˈɥiʁ
consulat	kõ.sy.ˈla
consulter	kõ.syl.ˈte
consumer	kõ.sy.ˈme
conséquence	kõ.se.ˈkãs
contact	kõ.ˈtakt
conte	kõt
contempler	kõ.tã.ˈple
contenir	kõ.tə.ˈniʁ
content	kõt
contenter	kõ.tã.ˈte
contenu	kõ.tə.ˈny
conter	kõ.ˈte
conter fleurette	kõ.te.flœ.ˈʁɛt
contester	kõ.tɛ.ˈste
continent	kõ.ˈtin
contingent	kõ.ˈtɛ̃ʒ
continuel	kõ.ti.ˈnyɛl
continuellement	kõ.ti.nyɛ.ˈləm
continuer	kõ.ti.ˈnye
continuer à	kõ.ti.ˈnyea
contracter	kõ.tʁak.ˈte
contradictoire	kõ.tʁa.dik.ˈtwaʁ
contraindre	kõ.ˈtʁɛ̃dʁ
contre	kõtʁ
contribuer	kõ.tʁi.ˈbye
contrée	kõ.ˈtʁe
contrôleur	kõ.tʁo.ˈlœʁ
convaincre	kõ.ˈvɛ̃kʁ
convenable	kõ.və.ˈnabl
convenablement	kõ.və.na.ˈbləm
convenir	kõ.və.ˈniʁ
convention	kõ.vã.ˈtjõ
conversation	kõ.vɛʁ.sa.ˈsjõ
convertir	kõ.vɛʁ.ˈtiʁ
conviction	kõ.vik.ˈsjõ
convive	kõ.ˈviv
copier	ko.ˈpje
coq	kɔk
coque	kɔk
coquelicot	kɔ.kə.li.ˈko
coquet	kɔ.ˈkɛ
coquille	kɔ.ˈkij
corbeau	kɔʁ.ˈbo
corbeille	kɔʁ.ˈbɛj
corde	kɔʁd
cordonnier	kɔʁ.dɔ.ˈnje
corinthien	ko.ʁɛ̃.ˈti
cormoran	kɔʁ.mɔ.ˈʁã
corne	kɔʁn
corps	kɔʁ
correspondance	ko.ʁɛ.spõ.ˈdãs
correspondant	ko.ʁɛ.spõ.ˈdã
correspondre	ko.ʁɛ.ˈspõdʁ
correspondre à	ko.ʁɛ.spõ.ˈdʁa
corridor	ko.ʁi.ˈdɔʁ
corriger	ko.ʁi.ˈʒe
corrompre	kɔ.ˈʁõpʁ
corse	kɔʁs
cortège	kɔʁ.ˈtɛʒ
coréen	kɔ.ˈʁe
cosmos	ko.ˈsmos
costaricien	ko.sta.ʁi.ˈsi
costume	ko.ˈstym
cotisation	kɔ.ti.za.ˈsjõ
coton	ko.ˈtõ
cou	ku
couche	kuʃ
coucher	ku.ˈʃe
coucou	ku.ˈku
coude	kud
coudre	kudʁ
couler	ku.ˈle
couleur	ku.ˈlœʁ
couleuvre	ku.ˈlœvʁ
couloir	ku.ˈlwaʁ
coup	ku
coupable	ku.ˈpabl
coupant	ku.ˈpã
coupe	kup
couper	ku.ˈpe
couper avec des ciseaux	ku.pea.vɛk.de.si.ˈzo
couple	kupl
coupler	ku.ˈple
coupon	ku.ˈpõ
cour	kuʁ
courage	ku.ˈʁaʒ
courageux	ku.ʁa.ˈʒø
courant	ku.ˈʁã
courbe	kuʁb
courber	kuʁ.ˈbe
courgette	kuʁ.ˈʒɛt
courir	ku.ˈʁiʁ
couronner	ku.ʁɔ.ˈne
courrier	ku.ˈʁje
courroie	ku.ˈʁwa
cours	kuʁ
court	kuʁ
courtois	kuʁ.ˈtwa
cousin	ku.ˈzɛ̃
cousine	ku.ˈzin
coussin	ku.ˈsɛ̃
coussin d'air	ku.sɛ̃.ˈdɛʁ
couteau	ku.ˈto
coutume	ku.ˈtym
couture	ku.ˈtyʁ
couturière	ku.ty.ˈʁjɛʁ
couvent	kuv
couver	ku.ˈve
couvert	ku.ˈvɛʁ
couverture	ku.vɛʁ.ˈtyʁ
couvrir	ku.ˈvʁiʁ
coyote	kɔ.ˈjɔt
coïncider	koɛ̃.si.ˈde
coïter	koi.ˈte
coûter	ku.ˈte
coûteux	ku.ˈtø
crabe	kʁab
cracher	kʁa.ˈʃe
craie	kʁɛ
craindre	kʁɛ̃dʁ
crainte	kʁɛ̃t
crapaud	kʁa.ˈpo
craquement	kʁa.ˈkəm
craquer	kʁa.ˈke
cravate	kʁa.ˈvat
crayon	kʁɛ.ˈjõ
creuser	kʁø.ˈze
creux	kʁø
crever	kʁə.ˈve
crevette	kʁə.ˈvɛt
cri	kʁi
criard	kʁjaʁ
crier	kʁie
crime	kʁim
criquet	kʁi.ˈkɛ
crise	kʁiz
cristal	kʁi.ˈstal
critique	kʁi.ˈtik
critiquer	kʁi.ti.ˈke
croasser	kʁoa.ˈse
croate	kʁot
crochet	kʁo.ˈʃɛ
crocodile	kʁo.ko.ˈdil
croire	kʁwaʁ
croiser	kʁwa.ˈze
croix	kʁwa
croupe	kʁup
croître	kʁwatʁ
cru	kʁy
cruche	kʁyʃ
crucifix	kʁy.si.ˈfi
cruel	kʁyɛl
créature	kʁea.ˈtyʁ
créer	kʁee
crème	kʁɛm
crème glacée	kʁɛm.gla.ˈse
crâne	kʁan
crêpe	kʁɛp
crête	kʁɛt
cubain	ky.ˈbɛ̃
cube	kyb
cueillir	kœ.ˈjiʁ
cuiller	kœ.ˈje
cuillère	kɥi.ˈjɛʁ
cuir	kɥiʁ
cuire	kɥiʁ
cuir à rasoir	kɥi.ʁa.ʁaz.ˈwaʁ
cuisine	kɥi.ˈzin
cuisiner	kɥi.zi.ˈne
cuisinier	kɥi.zi.ˈnje
cuisinière	kɥi.zi.ˈnjɛʁ
cuisse	kɥis
cuivre	kɥivʁ
cul	ky
culotte	ky.ˈlɔt
culte	kylt
cultiver	kyl.ti.ˈve
cultivé	kyl.ti.ˈve
culture	kyl.ˈtyʁ
curieux	ky.ˈʁjø
curiosité	ky.ʁjo.zi.ˈte
curé	ky.ˈʁe
cuve	kyv
cycle	sikl
cyclone	si.ˈklon
cygne	sinj
cylindre	si.ˈlɛ̃dʁ
cynique	si.ˈnik
cyprès	si.ˈpʁɛ
c'	s
c'est pourquoi	sɛst.puʁ.ˈkwa
céder	se.ˈde
céleri	se.lə.ˈʁi
célibataire	se.li.ba.ˈtɛʁ
célébrer	se.le.ˈbʁe
célèbre	se.ˈlɛbʁ
cérémonie	se.ʁe.mɔ.ˈni
césium	sez.ˈjɔm
cèdre	sɛdʁ
câble	kabl
côte	kot
côtelette	ko.tə.ˈlɛt
côte rivage	ko.tʁi.ˈvaʒ
côté	ko.ˈte
dactyle	dak.ˈtil
dactylographe	dak.ti.lo.ˈgʁaf
dactylographier	dak.ti.lo.gʁa.ˈfje
dahlia	da.ˈlja
daltonnien	dal.tɔ.ˈni
dame	dam
danger	dã.ˈʒe
dangereux	dã.ʒə.ˈʁø
dans	dã
danse	dãs
danser	dã.ˈse
dans le vent	dã.ˈləv
dans l'intervalle	dã.li.tɛʁ.ˈval
date	dat
dater	da.ˈte
datte	dat
dauphin	do.ˈfɛ̃
davantage	da.vã.ˈtaʒ
de	də
debout	də.ˈbu
dedans	də.ˈdã
degré	də.ˈgʁe
dehors	dəɔʁ
delta	dɛl.ˈta
demain	də.ˈmɛ̃
demain matin	də.mɛ̃.ma.ˈtɛ̃
demain soir	də.mɛ̃.ˈswaʁ
demander	də.mã.ˈde
demander l'aumône	də.mã.de.lo.ˈmon
demeure	də.ˈmœʁ
demeurer	də.mœ.ˈʁe
demi	də.ˈmi
demoiselle	də.mwa.ˈzɛl
demoiselle noble	də.mwa.zɛl.ˈnɔbl
denrée	dã.ˈʁe
dense	dãs
dent	d
dentelle	dã.ˈtɛl
dentiste	dã.ˈtist
depuis	də.ˈpɥi
dernier	dɛʁ.ˈnje
dernier cri	dɛʁ.nje.ˈkʁi
dernièrement	dɛʁ.njɛ.ˈʁəm
derrière	dɛ.ˈʁjɛʁ
des	de
descendance	dɛ.sã.ˈdãs
descendant	dɛ.sã.ˈdã
descendre	dɛ.ˈsãdʁ
descendre en rappel	dɛ.sãdʁ.ʁa.ˈpɛl
descente	dɛ.ˈsãt
description	dɛ.skʁips.ˈjõ
dessein	dɛ.ˈsɛ̃
dessert	dɛ.ˈsɛʁ
dessin	dɛ.ˈsɛ̃
dessiner	dɛ.si.ˈne
dessous	dɛ.ˈsu
dessus	də.ˈsy
destinataire	dɛ.sti.na.ˈtɛʁ
destination	dɛ.sti.na.ˈsjõ
destiner	dɛ.sti.ˈne
destinée	dɛ.sti.ˈne
des Philippines	de.fi.li.ˈpin
dette	dɛt
deuil	dœj
deux	dø
deuxième	døz.ˈjɛm
deuxième Sault	døz.jɛm.ˈsolt
deux cents	døs
devant	də.ˈvã
devenir	də.və.ˈniʁ
deviner	də.vi.ˈne
devise	də.ˈviz
devoir	də.ˈvwaʁ
de bonne heure	də.bɔ.ˈnœʁ
de cette manière	də.sɛt.ma.ˈnjɛʁ
de façon ou d'autre	də.fa.sõu.ˈdotʁ
de la	də.ˈla
de l'Allemagne occidentale	də.la.lə.ma.njok.si.dã.ˈtal
de l'Amérique du Nord	də.la.me.ʁik.dy.ˈnɔʁ
de moins en moins	də.mwɛ̃.ˈmwɛ̃
de même	də.ˈmɛm
de nouveau	də.nu.ˈvo
de plus en plus	də.ply.ˈply
de proche en proche	də.pʁɔʃ.ˈpʁɔʃ
de préférence	də.pʁe.fe.ˈʁãs
de quelle manière	də.kɛl.ma.ˈnjɛʁ
de quelqu'un	də.kɛl.ˈky
de suite	də.ˈsɥit
de temps en temps	də.tã.ˈtã
de toute manière	də.tut.ma.ˈnjɛʁ
diable	djabl
dialecte	dja.ˈlɛkt
dialogue	dja.ˈlɔg
diamant	dja.ˈmã
diarrhée	dja.ˈʁe
dictateur	dik.ta.ˈtœʁ
dicter	dik.ˈte
dictionnaire	dik.sjɔ.ˈnɛʁ
dieu	djø
diffamer	di.fa.ˈme
difficile	di.fi.ˈsil
difficilement	di.fi.si.ˈləm
différence	di.fe.ˈʁãs
différent	di.ˈfeʁ
différer	di.fe.ˈʁe
digitale	di.ʒi.ˈtal
digne	dinj
dignité	di.nji.ˈte
digérer	di.ʒe.ˈʁe
diluer	di.ˈlye
dimanche	di.ˈmãʃ
dimension	di.mã.ˈsjõ
diminuer	di.mi.ˈnye
dindon	dɛ̃.ˈdõ
diplôme	di.ˈplom
diplôme de fin d'études	di.plom.də.fɛ̃.de.ˈtyd
dire	diʁ
direct	di.ˈʁɛkt
directement	di.ʁɛk.ˈtəm
directeur	di.ʁɛk.ˈtœʁ
direction	di.ʁɛk.ˈsjõ
dire adieu	di.ʁa.ˈdjø
dirigeable	di.ʁi.ˈʒabl
diriger	di.ʁi.ˈʒe
discerner	di.sɛʁ.ˈne
disciple	di.ˈsipl
discipline	di.si.ˈplin
discours	di.ˈskuʁ
discret	di.ˈskʁɛ
discussion	di.sky.ˈsjõ
discuter	di.sky.ˈte
disparaître	di.spa.ˈʁɛtʁ
disparition	di.spa.ʁi.ˈsjõ
dispenser	di.spã.ˈse
disperser	di.spɛʁ.ˈse
disposer	di.spo.ˈze
disposer de	di.spo.ze.ˈdə
disposition	di.spo.zi.ˈsjõ
dispute	di.ˈspyt
disputer	di.spy.ˈte
disque	disk
disquette	di.ˈskɛt
dissiper	di.si.ˈpe
distance	di.ˈstãs
distinction	di.stik.ˈsjõ
distinguer	di.stɛ̃.ˈge
distraction	di.stʁak.ˈsjõ
distraire	di.ˈstʁɛʁ
distrait	di.ˈstʁɛ
distribuer	di.stʁi.ˈbye
distribution	di.stʁi.by.ˈtjõ
district de Franklin	di.stʁikt.də.fʁã.ˈklɛ̃
district de Keewatin	di.stʁikt.də.ki.wa.ˈtɛ̃
district de Mackenzie	di.stʁikt.də.ma.kã.ˈzi
divers	di.ˈvɛʁ
divin	di.ˈvɛ̃
diviser	di.vi.ˈze
divorce	di.ˈvɔʁs
dix	dis
diète	djɛt
docile	do.ˈsil
docilité	do.si.li.ˈte
docteur	dɔk.ˈtœʁ
docteur médecin	dɔk.tœʁ.me.də.ˈsɛ̃
document	do.ˈkym
dogme	dɔgm
doigt	dwa
doigt du pied	dwa.dy.ˈpje
dollar	dɔ.ˈlaʁ
domaine	do.ˈmɛn
domestique	do.mɛ.ˈstik
domicile	do.mi.ˈsil
dominant	do.mi.ˈnã
dominateur	do.mi.na.ˈtœʁ
dominer	do.mi.ˈne
dominicain	do.mi.ni.ˈkɛ̃
dommage	dɔ.ˈmaʒ
don	dõ
donner	dɔ.ˈne
donner l'assaut	dɔ.ne.la.ˈso
donner son accord	dɔ.ne.sõa.ˈkɔʁ
dont	dõ
don Quichotte	dõ.ki.ˈʃɔt
dorer	dɔ.ˈʁe
dorien	dɔ.ˈʁi
dorique	do.ˈʁik
dorloter	doʁ.lɔ.ˈte
dormir	dɔʁ.ˈmiʁ
dortoir	dɔʁ.ˈtwaʁ
dos	do
dossier	do.ˈsje
douane	dwan
double	dubl
doubler	du.ˈble
doucereux	du.sə.ˈʁø
douche	duʃ
douleur	du.ˈlœʁ
doute	dut
douter	du.ˈte
doux	du
douzaine	du.ˈzɛn
douze	duz
douzième	duz.ˈjɛm
drainer	dʁɛ.ˈne
drap	dʁa
drapeau	dʁa.ˈpo
drap de lit	dʁa.də.ˈli
dresser	dʁɛ.ˈse
drogue	dʁɔg
droit	dʁwa
droit de régie	dʁwa.də.ʁe.ˈʒi
drôle	dʁol
du	dy
duché	dy.ˈʃe
dur	dyʁ
durant	dy.ˈʁã
durcir	dyʁ.ˈsiʁ
durer	dy.ˈʁe
durée	dy.ˈʁe
duvet	dy.ˈvɛ
dynamite	di.na.ˈmit
dyspepsie	di.spɛ.ˈpsi
d'Afrikanders	da.fʁi.kã.ˈdɛʁ
d'Islande	dɛ̃s.ˈlãd
d'abord	da.ˈbɔʁ
d'acier	da.ˈsje
d'adieu	da.ˈdjø
d'ailleurs	da.ˈjœʁ
d'après	da.ˈpʁɛ
d'eau	do
d'où	du
d'une façon ou d'une autre	dyn.fa.sõu.dy.ˈnotʁ
débarcadère	de.baʁ.ka.ˈdɛʁ
débarquer	de.baʁ.ˈke
débarrasser	de.ba.ʁa.ˈse
débat	de.ˈba
débattre	de.ˈbatʁ
débit	de.ˈbi
débiter	de.bi.ˈte
déborder	de.bɔʁ.ˈde
débris	de.ˈbʁi
début	de.ˈby
débuter	de.by.ˈte
décembre	de.ˈsãbʁ
déception	de.sɛps.ˈjõ
décharger	de.ʃaʁ.ˈʒe
déchirer	de.ʃi.ˈʁe
décider	de.si.ˈde
décision	de.siz.ˈjõ
déclaration	de.kla.ʁa.ˈsjõ
déclarer	de.kla.ˈʁe
décor	de.ˈkɔʁ
décoration	de.kɔ.ʁa.ˈsjõ
décorer	de.kɔ.ˈʁe
découper	de.ku.ˈpe
découverte	de.ku.ˈvɛʁt
découvrir	de.ku.ˈvʁiʁ
décrire	de.ˈkʁiʁ
décéder	de.se.ˈde
dédaigner	de.dɛ.ˈnje
dédier	de.ˈdje
déduire	de.ˈdɥiʁ
défaut	de.ˈfo
défendre	de.ˈfãdʁ
défense	de.ˈfãs
défiler	de.fi.ˈle
défilé Woolsey	de.fi.le.wul.ˈsɛ
définer	de.fi.ˈne
définitif	de.fi.ni.ˈtif
déféquer	de.fe.ˈke
dégager	de.ga.ˈʒe
dégeler	deʒ.ˈle
dégoût	de.ˈgu
dégoûtant	de.gu.ˈtã
dégât	de.ˈga
déjeuner	de.ʒœ.ˈne
déjà	de.ˈʒa
délabré	de.la.ˈbʁe
délaisser	de.lɛ.ˈse
délicat	de.li.ˈka
délice	de.ˈlis
délicieux	de.li.ˈsjø
délirer	de.li.ˈʁe
délivrer	de.li.ˈvʁe
déléguer	de.le.ˈge
délétère	de.le.ˈtɛʁ
démanger	de.mã.ˈʒe
démarche	de.ˈmaʁʃ
démarrer	de.ma.ˈʁe
démissioner	de.mi.sjo.ˈne
démocrate	de.mɔ.ˈkʁat
démolir	de.mɔ.ˈliʁ
démontrer	de.mõ.ˈtʁe
déménagement	de.me.na.ˈʒəm
dénoncer	de.nõ.ˈse
dénonciation	de.nõ.sja.ˈsjõ
dénudé	de.ny.ˈde
départ	de.ˈpaʁ
dépasser	de.pa.ˈse
dépeindre	de.ˈpɛ̃dʁ
dépendre	de.ˈpãdʁ
dépense	de.ˈpãs
dépenser	de.pã.ˈse
déployer	de.plwa.ˈje
déposer	de.po.ˈze
dépouiller	de.pu.ˈje
député	de.py.ˈte
déranger	de.ʁã.ˈʒe
dériver	de.ʁi.ˈve
dérober	de.ʁɔ.ˈbe
désagréable	de.za.ˈgʁeabl
désastre	de.ˈzastʁ
désert	de.ˈzɛʁ
désespoir	de.zɛsp.ˈwaʁ
désespérer	de.zɛ.spe.ˈʁe
déshabiller	de.za.bi.ˈje
désigner	de.zi.ˈnje
désir	de.ˈziʁ
désirer	de.zi.ˈʁe
désobéissant	de.zɔ.bei.ˈsã
désolation	de.zɔ.la.ˈsjõ
désoler	de.zɔ.ˈle
désolé	de.zɔ.ˈle
désordre	de.ˈzɔʁdʁ
déstination	de.sti.na.ˈsjõ
détachement	de.ta.ˈʃəm
détacher	de.ta.ˈʃe
détail	de.ˈtaj
détente	de.ˈtãt
déterminer	de.tɛʁ.mi.ˈne
détester	de.tɛ.ˈste
détourner	de.tuʁ.ˈne
détroit	de.ˈtʁwa
détroit Davis	de.tʁwa.da.ˈvi
détroit de Belle Ile	de.tʁwa.də.bɛ.ˈlil
détroit de Cabot	de.tʁwa.də.ka.ˈbo
détroit de Northumberland	de.tʁwa.də.noʁ.ty.bɛʁ.ˈlã
détruire	de.ˈtʁɥiʁ
